"STARTDATE";"STARTTIME";"ENDDATE";"ENDTIME";"DURATION";"DOWNLOAD";"UPLOAD";"DOMAIN";"MUNICIPIO";"DUG";"DUF";"CIVICO";"LOCALITA";"SERVICEPROFILE";"DTLN"
"03/08/2020";"20:42:29";"03/08/2020";"22:46:33";"7444";"366120367";"16422596";"REGISTERED";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";"it"
"03/08/2020";"22:55:40";"04/08/2020";"02:30:25";"12885";"201234852";"26811430";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"03/08/2020";"13:01:30";"04/08/2020";"00:33:20";"41510";"1104392128";"272276760";"BIBLIO";"Municipio V";"Via";"del Pigneto";"22";"Roma";"Biblioteche";""
"04/08/2020";"03:37:45";"04/08/2020";"03:48:35";"650";"69314464";"2848118";"REGISTERED_MC";"Municipio I";"Via";"delle Tre Pile";"1";"Roma";"Musei_Capitolini";"it"
"04/08/2020";"04:05:14";"04/08/2020";"05:24:33";"4759";"698007";"320748";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"04/08/2020";"04:20:54";"04/08/2020";"06:39:03";"8289";"34944427";"9460585";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"en"
"04/08/2020";"06:55:06";"04/08/2020";"06:58:25";"199";"298826";"89970";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"06:14:18";"04/08/2020";"06:59:24";"2706";"159838497";"1714091";"REGISTERED";"Municipio I";"Via";"della Consolazione";"4";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:05:03";"04/08/2020";"07:14:49";"586";"10724182";"1072357";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:17:45";"04/08/2020";"07:29:04";"679";"12334149";"1134212";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"04/08/2020";"07:30:51";"04/08/2020";"07:34:22";"211";"251106";"104073";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:25:59";"04/08/2020";"07:35:34";"575";"5126801";"299480";"REGISTERED";"Municipio IX";"Via";"di Decima";"96/102";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:41:01";"04/08/2020";"07:43:56";"175";"285965";"210510";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:52:13";"04/08/2020";"07:52:13";"0";"18141";"11445";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:37:00";"04/08/2020";"07:52:44";"944";"10596558";"1825334";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"04/08/2020";"07:47:53";"04/08/2020";"07:53:34";"341";"4790325";"549956";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:49:05";"04/08/2020";"07:57:01";"476";"3850009";"1000870";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:17:46";"04/08/2020";"07:58:58";"2472";"35748585";"5572485";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:53:55";"04/08/2020";"07:59:35";"340";"3321825";"719481";"REGISTERED";"Municipio III";"Via";"Flavio Ando";"12";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:59:55";"04/08/2020";"08:02:48";"173";"5474878";"309279";"REGISTERED";"Municipio VIII";"Largo ";"Giovanni da Verrazzano";"7";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:04:36";"04/08/2020";"08:05:13";"37";"1227444";"65466";"REGISTERED";"Municipio I";"Via";"della Greca";"5";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:04:01";"04/08/2020";"08:07:01";"180";"457755";"100677";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:37:07";"04/08/2020";"08:11:53";"2086";"202133074";"34042391";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:10:13";"04/08/2020";"08:12:39";"146";"1842742";"386630";"REGISTERED";"Municipio XI";"Via";"Portuense";"579";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:13:53";"04/08/2020";"08:13:53";"0";"5302";"1068";"REGISTERED";"Municipio I";"Via";"dei Cerchi";"6";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:11:38";"04/08/2020";"08:17:45";"367";"459535";"71081";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:14:57";"04/08/2020";"08:20:41";"344";"28446154";"997861";"REGISTERED";"Municipio I";"Via";"dei Cerchi";"6";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:18:26";"04/08/2020";"08:23:10";"284";"24211930";"1984233";"SPID";"Municipio XIII";"Via";"Aurelia";"470";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:20:19";"04/08/2020";"08:24:01";"222";"298219";"85199";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:04:16";"04/08/2020";"08:26:27";"1331";"38589145";"2802754";"REGISTERED";"Municipio I";"Piazza";"Sant'Egidio";"1/B";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"07:57:20";"04/08/2020";"08:30:11";"1971";"483089659";"5513953";"REGISTERED";"Municipio I";"Via";"del Tempio di Giove";"21";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:29:25";"04/08/2020";"08:32:24";"179";"1229165";"429893";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:26:40";"04/08/2020";"08:37:16";"636";"9783489";"704236";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"50";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:06:00";"04/08/2020";"08:43:16";"2236";"40069559";"2107080";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"04/08/2020";"07:56:17";"04/08/2020";"08:47:41";"3084";"47289974";"3443003";"REGISTERED";"Municipio VIII";"Largo";"delle Sette Chiese";"25";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:25:23";"04/08/2020";"08:55:33";"1810";"189694335";"5609792";"REGISTERED";"Municipio V";"Via";"Giorgio Perlasca";"39";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:46:17";"04/08/2020";"08:55:42";"565";"6925499";"501191";"REGISTERED";"Municipio V";"Via";"Torre Annunziata";"1";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:53:18";"04/08/2020";"08:57:15";"237";"15620544";"752020";"REGISTERED";"Municipio XIII";"Via";"Aurelia";"470";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:53:15";"04/08/2020";"08:57:18";"243";"486085";"62411";"REGISTERED";"Municipio VII";"Piazza";"di Cinecitta";"11";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:42:25";"04/08/2020";"09:00:31";"1086";"665580";"163944";"REGISTERED";"Municipio IX";"Viale";"della Previdenza Sociale";"20";"Roma";"Biblioteche";"it"
"04/08/2020";"08:56:43";"04/08/2020";"09:02:51";"368";"454432";"68617";"REGISTERED";"Municipio II";"Via";"Ulisse Aldrovandi";"18";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"09:00:56";"04/08/2020";"09:14:28";"812";"27517584";"1670533";"REGISTERED";"Municipio I";"Via";"Luigi Petroselli";"45";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"09:14:36";"04/08/2020";"09:14:36";"0";"14747";"18054";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"09:17:45";"04/08/2020";"09:17:46";"1";"20533";"15967";"REGISTERED";"Municipio VI";"Viale";"Duilio Cambellotti";"11";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"09:11:39";"04/08/2020";"09:18:21";"402";"30611191";"3726228";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
"04/08/2020";"09:00:34";"04/08/2020";"09:21:14";"1240";"3299974";"1789455";"REGISTERED";"Municipio VII";"Via";"Tommaso Fortifiocca";"71";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:37:30";"04/08/2020";"09:22:00";"2670";"1699190";"509281";"REGISTERED";"Municipio VIII";"Circonvallazione";"Ostiense";"191";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:25:53";"04/08/2020";"09:29:14";"3801";"1263735245";"16600737";"REGISTERED";"Municipio XI";"Via";"Portuense";"579";"Roma";"DigitRomaWiFi";"it"
"04/08/2020";"08:36:34";"04/08/2020";"09:29:59";"3205";"6518947";"1456963";"REGISTERED_H24";"Municipio I";"Via";"Trionfale";"45";"Roma";"DigitRomaWiFi_H24";"it"
